text,label
"很客气的大叔，卷饼very,good",2
没收到餐~~11:45分送，13:20还没送来，退了,0
没勺没筷子怎么吃,0
基本没有用处 而且超乎想象的薄也许是那家小孩教的多？或许更适合3岁以下的孩子？我不懂,1
全都辣白菜，沒什么味道不好吃,0
无论从任何角度讲，该酒店最多只能评为2星级。 携程首先推荐该酒店，我认为只有一个原因：酒店的返点最高？ 补充点评 2008年3月11日 ： 教训！,1
拿到上个电脑的退款买的这个 挺好的 退货很干脆 此本配置不错 散热很好 还没发现什么硬件缺点,2
之前一直在看《咕噜咕噜转》孩子很喜欢，有一周时间了，自己总是翻看着，自己讲着。第二本《斯凯瑞最受欢迎的故事》拿出来，贝贝好兴奋，故事前前后后讲了两三遍，感兴趣的几篇讲了无数遍，万能修先生，会说话的面包，墨菲警官这些都是他常挂嘴边的，篇篇故事都生动，画面表现到位。这两本真是不错。,2
"粥一般,饼不错",2
此酒店设施陈旧，谈不上是星级酒店，只能算是招待所级别。房间小，走路地板摇动，总之，在我此住印象一般。下次不会再考虑！,1
就是一点凉了,2
"还是一个多月前住的了.印象很深刻.酒店外表看起来是很不错.里面还算一般了.给我印象深刻的是我第2天屁股就开始痒.害我赶快去看了医生.还好.没什么问题.可能是被子没洗干净.上面有细菌.肯定没消毒.被子不可能没换吧???建议大家以后还是住贵点的.不要贪便宜.也就一两百快的事情.象后来咱们去东莞住的海悦就非常好.500多一晚上.房间大.很新.环境也很好.服务员态度也很好。总之什么都很好.很满意.很值.相信深圳的海悦也不会差.我现在都不敢住3星4星的啦.哎,不放心啦.",1
触屏上面有一个小突起，弄不掉，硬盘分区是225G+1G+10G，简直是搞笑,1
菜品没问题的。也很划算。好像少给了一个豆浆。不过算了。送餐太慢。希望以后加快点。,0
三星的机器都是“指纹”机，太容易留指纹了。1G的内存有点小，因为被集显吃点200多M。3300的价格性价比没有宏基等的机器好。机器的市场价其实只有3800，京东标4000，给人优惠很多的错觉。,1
"携程提供的160元的普通标间没有任何竞争力,房间设施一般,床单破损,服务也一般.商务豪华标间部分房间不是没有电脑,便是电脑只是摆设,连启动都不能.我在升级更换房间时便三易房间才能够正常入住.期待改进.",1
"垃圾,三个小时才到",0
红油抄手不错,2
打包盒太次了居然还收费，漏了满袋子的油。饭量倒是挺多。,0
既然有thinkpad的鼠标，为何不送一个呢。今天去广州自提点的时候差点就要抽其中一个前台MM的耳光。拉着个脸，说话很不耐烦，好像大家都欠她钱似的，素质真的是太差了！严重侮辱了晶东的形象！,1
量不大，吃不饱。。,0
山药是酸的，没法吃,0
没有蛋羹！！！蛋羹！！！我点过很多次了，唯独这次没有蛋羹！！！,0
点了薯条没送过来，又跑了一趟才送到。可是时间太长不想吃了。送过来的汉堡都压扁了,0
钢琴烤漆很容易留指纹印，并且进入不了系统，开机时声音很大，已经发回去换一个回来，希望京东能快点帮我发回来，虽然第一次在京东买东西就碰到这么倒霉运，但还是相信京东，并且希望你们做得更好。,1
酒店真的像足了2星级的感觉，除了早餐不错，从服务到住宿，没有一个能让人满意一点点地。。。房间里的怪味……唉,1
很旧的酒店，房间里又脏又旧，不过床铺的干净程度还算可以接受。电视遥控器也不好用，窗户完全不可以打开，外面贴着不知道什么广告。到晚上11点回来，已经不知道前台服务员去了哪里？无奈找到其他服务员，对前台告诉早上6：00叫早，前台也已经确认，结果是幸亏自己的手机有闹钟功能，不然一定赶不上飞机。早上结账时，告诉入住2位客人，需要另外交2元的城市建设费（好像是这个费用，甘肃省要求的）。在甘肃的其他酒店入住时，其他的酒店都自己承担的，钱虽然不多，不过可以反映酒店的服务水平。唯一的好处就是这个酒店可以提供免费接机服务，不过来接的车子也应该不是酒店的车子，一路上一直询问可否自己租他的车子。不过师傅倒是态度挺憨厚的。这样小的城市，这样的服务水平也就不足为奇了！！,1
"先借用老徐在这本书封面上的话说:?读聪明女人的书是种享受,会心,不累...?看过第一部后,才想买的第二本,虽然是本小说,却凝聚了职场的风云冷暖,看过的关于职场的书很多,但却只有这两本印象深刻.感觉读过之后很过瘾,从人际关系到专业知识,统统恶补了一遍,最关键的是,它可以给城外的人窥探高墙里面的故事,并时刻准备跻身其中...",2
房间很舒服，我个人非常满意，办公台适合我个人的使用习惯且网速好。大床、卫生间都不错。 宾馆反馈 2008年1月16日 ： 感谢您对大连银帆宾馆的良好评价！近期的商务间升级推广活动受到了很多客人的一致好评，这是对新房间的认可，也是对我们房间进一步优化的良好帮助资源！ 银帆宾馆欢迎您！如有需要通过总机与我联系！,2
够爽，好吃，一个人吃有点多,2
没有带发票,0
送餐速度太慢，希望赶紧改良,0
1、车到酒店门口，没找到酒店，原来身边满是脚手架的大楼工地就是酒店，胆战心惊的走入，前台很破旧，很难想象是四星级的酒店。 2、我住公寓套房，好像19楼，几部电梯只有一步到达，换了隔壁电梯才行，楼上走道昏暗，长长走廊，只有一两盏灯，，一出电梯眼睛要过一会儿才能看清东西，太省钱了吧。 3、上午入住，电钻声不断，楼下房间原来在装修，携程也不事先告知，我晕！！！ 4、客厅较大，但太空了，只有沙发，却没有电视机，原来是叫人坐那里发呆的。 5、洗澡没热水，一问，原来不是统一热水，而是电淋浴器，烧一桶要好长时间，一个晚上到第二天早上也没有热水出来，服务员说不知道为啥这样，四星级的无热水待遇，澡当然没洗，退房时心理和身上都发痒.... 6、口渴了烧水喝，电热水壶也坏的，打电话要换一个，说库房下班了，那是晚上八点多吧，从哪里变不出来一个？其他没人住的房间，你们经理的办公室...总能解决吧，不行烧一壶水上来也行啊，可他们就不理你，我只能跑到街上买水喝了！！ 7、所有家具设备都是陈旧的 我想大家也会理解我的感受，我平时住店一般会先来看看众兄弟的网评，不好决不敢住。这次行程匆忙，是在路上电话预订的，酒店是携程反复向我推荐的，我才上了当，如果携程以后光注重经济效益而不注重酒店本身的品质，推荐这样的酒店，我看是要砸牌子的，毕竟你们也有竞争者的。 补充点评 2007年5月2日 ： 再补充一点，宽带速度“奇快”，两个笔记本上网，一个酒店宽带，一个CDMA掌上宽带拨号上网，在联众打游戏，有线的网速还比不过无线的，还掉了几次线，送了人家好多分，呜呜...,1
弹珠和芋圆小丸子很好吃,2
送餐快递很给力，饭菜都热着呢，鲜肉小笼包和红烧肉都不错,2
特别合适，好吃,2
屏幕大，配置也还行。250GSATA硬盘应该很快才对，但是BIOS里面显示的是IDE.可以一键关闭摄像头、无线，感觉挺方便,2
劝大家不要入住这个酒店，号称四星的标准，可是房间内的物品非常抵挡，尤其是毛巾，还不如如家、锦江之星这种商务酒店的好，住进去之后真是大呼上当，除了海景标间的风景尚可，其他真的没法让人满意，我4月底入住，房间非常冷，打电话问酒店，给我的答复是现在没有暖风，让我多盖床被子，你说可笑不可笑？,1
饭都凉了，烦躁,0
送餐师傅很好呦！饮料好大杯！吓死宝宝了！,2
送餐太慢一个多小时,0
送餐太慢，米饭还得另加2元,0
